"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 10 20:30:15 CST 2021","Sun Jan 10 20:30:25 CST 2021","9676","unittest_pytest.pytest","test_baidudemo","","","","test_steps_demo[pytest]",""
"passed","Sun Jan 10 20:30:25 CST 2021","Sun Jan 10 20:30:35 CST 2021","9639","unittest_pytest.pytest","test_baidudemo","","","","test_steps_demo[unittest]",""
"passed","Sun Jan 10 20:30:05 CST 2021","Sun Jan 10 20:30:15 CST 2021","10723","unittest_pytest.pytest","test_baidudemo","","","","test_steps_demo[allure]",""
