"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 10 20:05:56 CST 2021","Sun Jan 10 20:06:06 CST 2021","9955","unittest_pytest.pytest","test_baidudemo","","","","test_steps_demo[pytest]",""
"passed","Sun Jan 10 20:05:40 CST 2021","Sun Jan 10 20:05:56 CST 2021","16624","unittest_pytest.pytest","test_baidudemo","","","","test_steps_demo[allure]",""
"passed","Sun Jan 10 20:06:06 CST 2021","Sun Jan 10 20:06:16 CST 2021","9778","unittest_pytest.pytest","test_baidudemo","","","","test_steps_demo[unittest]",""
